index,pm25
2020-09-15,54.0
2020-09-16,108.0
2020-09-17,35.0
2020-09-18,45.0
2020-09-19,60.0
2020-09-20,60.0
2020-09-21,98.0
2020-09-22,76.0
2020-09-23,29.0
2020-09-24,51.0
2020-09-25,60.0
2020-09-26,99.0
2020-09-27,67.0
2020-09-28,75.0
2020-09-29,127.0
2020-09-30,86.0
2020-10-01,110.0
2020-10-02,129.0
2020-10-03,119.0
2020-10-04,88.0
2020-10-05,83.0
2020-10-06,115.0
2020-10-07,124.0
2020-10-08,201.0
2020-10-09,207.0
2020-10-10,229.0
2020-10-11,230.0
2020-10-12,277.0
2020-10-13,165.0
2020-10-14,190.0
2020-10-15,145.0
2020-10-16,137.0
2020-10-17,142.0
2020-10-18,174.0
2020-10-19,208.0
2020-10-20,228.0
2020-10-21,234.0
2020-10-22,211.0
2020-10-23,187.0
2020-10-24,218.0
2020-10-25,211.0
2020-10-26,211.0
2020-10-27,292.0
2020-10-28,155.0
2020-10-29,161.0
2020-10-30,157.0
2020-10-31,127.0
2020-11-01,154.0
2020-11-02,167.0
2020-11-03,177.0
2020-11-04,176.0
2020-11-05,168.0
2020-11-06,157.0
2020-11-07,163.0
2020-11-08,128.96361355081555
2020-11-09,155.0
2020-11-10,168.0
2020-11-11,201.0
2020-11-12,201.0
2020-11-13,184.0
2020-11-14,184.0
2020-11-15,175.0
2020-11-16,180.0
2020-11-17,142.0
2020-11-18,187.0
2020-11-19,194.0
2020-11-20,186.0
2020-11-21,185.0
2020-11-22,174.0
2020-11-23,141.0
2020-11-24,191.0
2020-11-25,184.0
2020-11-26,209.0
2020-11-27,170.0
2020-11-28,135.18042431500524
2020-11-29,135.18042431500524
2020-11-30,128.96361355081555
2020-12-01,157.0
2020-12-02,169.0
2020-12-03,173.0
2020-12-04,174.0
2020-12-05,170.0
2020-12-06,157.0
2020-12-07,165.0
2020-12-08,163.0
2020-12-09,159.0
2020-12-10,160.0
2020-12-11,172.0
2020-12-12,166.0
2020-12-13,158.0
2020-12-14,142.0
2020-12-15,176.0
2020-12-16,184.0
2020-12-17,176.0
2020-12-18,168.0
2020-12-19,171.0
2020-12-20,172.0
2020-12-21,183.0
2020-12-22,168.0
2020-12-23,179.0
2020-12-24,185.0
2020-12-25,184.0
2020-12-26,185.0
2020-12-27,200.0
2020-12-28,155.0
2020-12-29,171.0
2020-12-30,181.0
2020-12-31,185.0
2021-01-01,198.0
2021-01-02,200.0
2021-01-03,205.0
2021-01-04,197.0
2021-01-05,207.0
2021-01-06,222.0
2021-01-07,214.0
2021-01-08,172.0
2021-01-09,173.0
2021-01-10,181.0
2021-01-11,181.0
2021-01-12,208.0
2021-01-13,167.0
2021-01-14,176.0
2021-01-15,161.0
2021-01-16,169.0
2021-01-17,172.0
2021-01-18,155.0
2021-01-19,174.0
2021-01-20,194.0
2021-01-21,176.0
2021-01-22,208.0
2021-01-23,204.0
2021-01-24,168.0
2021-01-25,174.0
2021-01-26,182.0
2021-01-27,182.0
2021-01-28,197.0
2021-01-29,186.0
2021-01-30,187.0
2021-01-31,176.0
2021-02-01,180.0
2021-02-02,164.0
2021-02-03,175.0
2021-02-04,178.0
2021-02-05,171.0
2021-02-06,156.0
2021-02-07,149.0
2021-02-08,150.0
2021-02-09,169.0
2021-02-10,262.0
2021-02-11,207.0
2021-02-12,203.0
2021-02-13,172.0
2021-02-14,170.0
2021-02-15,157.0
2021-02-16,151.0
2021-02-17,158.0
2021-02-18,165.0
2021-02-19,129.0
2021-02-20,131.0
2021-02-21,137.0
2021-02-22,155.0
2021-02-23,168.0
2021-02-24,182.0
2021-02-25,161.0
2021-02-26,143.0
2021-02-27,141.0
2021-02-28,158.0
2021-03-01,161.0
2021-03-02,151.0
2021-03-03,172.0
2021-03-04,175.0
2021-03-05,173.0
2021-03-06,150.0
2021-03-07,130.0
2021-03-08,163.0
2021-03-09,151.0
2021-03-10,163.0
2021-03-11,137.0
2021-03-12,128.0
2021-03-13,158.0
2021-03-14,176.0
2021-03-15,154.0
2021-03-16,198.0
2021-03-17,167.0
2021-03-18,193.0
2021-03-19,155.0
2021-03-20,143.0
2021-03-21,156.0
2021-03-22,159.0
2021-03-23,160.0
2021-03-24,173.0
2021-03-25,138.0
2021-03-26,166.0
2021-03-27,170.0
2021-03-28,166.0
2021-03-29,135.0
2021-03-30,71.0
2021-03-31,233.0
2021-04-01,142.0
2021-04-02,136.0
2021-04-03,114.0
2021-04-04,107.0
2021-04-05,99.0
2021-04-06,133.0
2021-04-07,129.0
2021-04-08,115.0
2021-04-09,113.0
2021-04-10,125.0
2021-04-11,120.0
2021-04-12,117.0
2021-04-13,133.0
2021-04-14,112.0
2021-04-15,116.0
2021-04-16,116.0
2021-04-17,100.0
2021-04-18,656.0
2021-04-19,834.0
2021-04-20,834.0
2021-04-21,834.0
2021-04-22,834.0
2021-04-23,834.0
2021-04-24,834.0
2021-04-25,834.0
2021-04-26,834.0
2021-04-27,128.96361355081555
2021-04-28,128.96361355081555
2021-04-29,128.96361355081555
2021-04-30,834.0
2021-05-01,128.96361355081555
2021-05-02,135.18042431500524
2021-05-03,128.96361355081555
2021-05-04,109.0
2021-05-05,94.0
2021-05-06,135.18042431500524
2021-05-07,135.18042431500524
2021-05-08,135.18042431500524
2021-05-09,135.18042431500524
2021-05-10,135.18042431500524
2021-05-11,135.18042431500524
2021-05-12,135.18042431500524
2021-05-13,135.18042431500524
2021-05-14,135.18042431500524
2021-05-15,135.18042431500524
2021-05-16,135.18042431500524
2021-05-17,135.18042431500524
2021-05-18,135.18042431500524
2021-05-19,135.18042431500524
2021-05-20,135.18042431500524
2021-05-21,128.96361355081555
2021-05-22,834.0
2021-05-23,135.18042431500524
2021-05-24,135.18042431500524
2021-05-25,135.18042431500524
2021-05-26,135.18042431500524
2021-05-27,135.18042431500524
2021-05-28,135.18042431500524
2021-05-29,135.18042431500524
2021-05-30,135.18042431500524
2021-05-31,135.18042431500524
2021-06-01,135.18042431500524
2021-06-02,135.18042431500524
2021-06-03,135.18042431500524
2021-06-04,128.96361355081555
2021-06-05,169.0
2021-06-06,128.96361355081555
2021-06-07,54.0
2021-06-08,62.0
2021-06-09,80.0
2021-06-10,44.0
2021-06-11,43.0
2021-06-12,73.0
2021-06-13,132.0
2021-06-14,195.0
2021-06-15,115.0
2021-06-16,47.0
2021-06-17,90.0
2021-06-18,118.0
2021-06-19,88.0
2021-06-20,118.0
2021-06-21,101.0
2021-06-22,79.0
2021-06-23,94.0
2021-06-24,76.0
2021-06-25,133.0
2021-06-26,59.0
2021-06-27,60.0
2021-06-28,77.0
2021-06-29,65.0
2021-06-30,53.0
2021-07-01,72.0
2021-07-02,75.0
2021-07-03,80.0
2021-07-04,100.0
2021-07-05,78.0
2021-07-06,146.0
2021-07-07,72.0
2021-07-08,210.0
2021-07-09,801.0
2021-07-10,834.0
2021-07-11,831.0
2021-07-12,809.0
2021-07-13,773.0
2021-07-14,788.0
2021-07-15,792.0
2021-07-16,797.0
2021-07-17,128.96361355081555
2021-07-18,128.96361355081555
2021-07-19,128.96361355081555
2021-07-20,128.96361355081555
2021-07-21,109.0
2021-07-22,80.0
2021-07-23,108.0
2021-07-24,55.0
2021-07-25,51.0
2021-07-26,57.0
2021-07-27,45.0
2021-07-28,52.0
2021-07-29,93.0
2021-07-30,98.0
2021-07-31,52.0
2021-08-01,47.0
2021-08-02,49.0
2021-08-03,46.0
2021-08-04,50.0
2021-08-05,55.0
2021-08-06,92.0
2021-08-07,64.0
2021-08-08,71.0
2021-08-09,67.0
2021-08-10,65.0
2021-08-11,65.0
2021-08-12,66.0
2021-08-13,59.0
2021-08-14,53.0
2021-08-15,52.0
2021-08-16,83.0
2021-08-17,60.0
2021-08-18,62.0
2021-08-19,61.0
2021-08-20,83.0
2021-08-21,41.0
2021-08-22,63.0
2021-08-23,53.0
2021-08-24,54.0
2021-08-25,51.0
2021-08-26,52.0
2021-08-27,58.0
2021-08-28,73.0
2021-08-29,75.0
2021-08-30,85.0
2021-08-31,54.0
2021-09-01,46.0
2021-09-02,43.0
2021-09-03,51.0
2021-09-04,54.0
2021-09-05,61.0
2021-09-06,57.0
2021-09-07,67.0
2021-09-08,41.0
2021-09-09,36.0
2021-09-10,47.0
2021-09-11,37.0
2021-09-12,35.0
2021-09-13,48.0
2021-09-14,67.0
2021-09-15,63.0
2021-09-16,102.0
2021-09-17,66.0
2021-09-18,58.0
2021-09-19,44.0
2021-09-20,43.0
2021-09-21,50.0
2021-09-22,66.0
2021-09-23,80.0
2021-09-24,66.0
2021-09-25,617.0
2021-09-26,128.96361355081555
2021-09-27,790.0
2021-09-28,790.0
2021-09-29,128.96361355081555
2021-09-30,50.0
2021-10-01,105.0
2021-10-02,120.0
2021-10-03,123.0
2021-10-04,129.0
2021-10-05,131.0
2021-10-06,94.0
2021-10-07,91.0
2021-10-08,108.0
2021-10-09,60.0
2021-10-10,76.0
2021-10-11,117.0
2021-10-12,164.0
2021-10-13,147.0
2021-10-14,164.0
2021-10-15,160.0
2021-10-16,149.0
2021-10-17,159.0
2021-10-18,113.0
2021-10-19,109.0
2021-10-20,125.0
2021-10-21,154.0
2021-10-22,151.0
2021-10-23,138.0
2021-10-24,104.0
2021-10-25,86.0
2021-10-26,134.0
2021-10-27,142.0
2021-10-28,162.0
2021-10-29,167.0
2021-10-30,166.0
2021-10-31,162.0
2021-11-01,207.0
2021-11-02,206.0
2021-11-03,203.0
2021-11-04,173.0
2021-11-05,201.0
2021-11-06,139.0
2021-11-07,152.0
2021-11-08,200.0
2021-11-09,247.0
2021-11-10,199.0
2021-11-11,183.0
2021-11-12,196.0
2021-11-13,177.0
2021-11-14,184.0
2021-11-15,177.0
2021-11-16,211.0
2021-11-17,155.0
2021-11-18,101.0
2021-11-19,141.0
2021-11-20,131.0
2021-11-21,59.0
2021-11-22,93.0
2021-11-23,96.0
2021-11-24,209.0
2021-11-25,165.0
2021-11-26,162.0
2021-11-27,163.0
2021-11-28,168.0
2021-11-29,162.0
2021-11-30,165.0
2021-12-01,153.0
2021-12-02,155.0
2021-12-03,145.0
2021-12-04,136.0
2021-12-05,125.0
2021-12-06,161.0
2021-12-07,179.0
2021-12-08,207.0
2021-12-09,182.0
2021-12-10,161.0
2021-12-11,168.0
2021-12-12,172.0
2021-12-13,169.0
2021-12-14,161.0
2021-12-15,181.0
2021-12-16,206.0
2021-12-17,195.0
2021-12-18,202.0
2021-12-19,185.0
2021-12-20,211.0
2021-12-21,192.0
2021-12-22,208.0
2021-12-23,202.0
2021-12-24,128.96361355081555
2021-12-25,174.0
2021-12-26,181.0
2021-12-27,192.0
2021-12-28,176.0
2021-12-29,146.0
2021-12-30,169.0
2021-12-31,168.0
2022-01-01,168.0
2022-01-02,171.0
2022-01-03,175.0
2022-01-04,182.0
2022-01-05,189.0
2022-01-06,187.0
2022-01-07,176.0
2022-01-08,156.0
2022-01-09,107.0
2022-01-10,132.0
2022-01-11,161.0
2022-01-12,164.0
2022-01-13,176.0
2022-01-14,187.0
2022-01-15,172.0
2022-01-16,167.0
2022-01-17,189.0
2022-01-18,169.0
2022-01-19,173.0
2022-01-20,166.0
2022-01-21,141.0
2022-01-22,103.0
2022-01-23,199.0
2022-01-24,169.0
2022-01-25,166.0
2022-01-26,166.0
2022-01-27,162.0
2022-01-28,150.0
2022-01-29,158.0
2022-01-30,171.0
2022-01-31,170.0
2022-02-01,177.0
2022-02-02,183.0
2022-02-03,146.0
2022-02-04,147.0
2022-02-05,173.0
2022-02-06,181.0
2022-02-07,158.0
2022-02-08,164.0
2022-02-09,141.0
2022-02-10,351.0
2022-02-11,151.0
2022-02-12,162.0
2022-02-13,172.0
2022-02-14,150.0
2022-02-15,123.0
2022-02-16,110.0
2022-02-17,119.0
2022-02-18,131.0
2022-02-19,166.0
2022-02-20,160.0
2022-02-21,160.0
2022-02-22,161.0
2022-02-23,154.0
2022-02-24,175.0
2022-02-25,176.0
2022-02-26,169.0
2022-02-27,169.0
2022-02-28,171.0
2022-03-01,172.0
2022-03-02,185.0
2022-03-03,171.0
2022-03-04,142.0
2022-03-05,169.0
2022-03-06,172.0
2022-03-07,209.0
2022-03-08,207.0
2022-03-09,178.0
2022-03-10,174.0
2022-03-11,175.0
2022-03-12,174.0
2022-03-13,182.0
2022-03-14,123.0
2022-03-15,242.0
2022-03-16,174.0
2022-03-17,177.0
2022-03-18,169.0
2022-03-19,150.0
2022-03-20,126.0
2022-03-21,140.0
2022-03-22,168.0
2022-03-23,163.0
2022-03-24,160.0
2022-03-25,133.0
2022-03-26,118.0
2022-03-27,127.0
2022-03-28,128.0
2022-03-29,144.0
2022-03-30,131.0
2022-03-31,129.0
2022-04-01,163.0
2022-04-02,156.0
2022-04-03,144.0
2022-04-04,124.0
2022-04-05,110.0
2022-04-06,116.0
2022-04-07,117.0
2022-04-08,111.0
2022-04-09,99.0
2022-04-10,93.0
2022-04-11,98.0
2022-04-12,140.0
2022-04-13,129.0
2022-04-14,150.0
2022-04-15,99.0
2022-04-16,98.0
2022-04-17,94.0
2022-04-18,92.0
2022-04-19,106.0
2022-04-20,115.0
2022-04-21,149.0
2022-04-22,157.0
2022-04-23,156.0
2022-04-24,123.0
2022-04-25,124.0
2022-04-26,110.0
2022-04-27,121.0
2022-04-28,127.0
2022-04-29,93.0
2022-04-30,107.0
2022-05-01,86.0
2022-05-02,80.0
2022-05-03,92.0
2022-05-04,104.0
2022-05-05,100.0
2022-05-06,131.0
2022-05-07,147.0
2022-05-08,133.0
2022-05-09,93.0
2022-05-10,88.0
2022-05-11,92.0
2022-05-12,85.0
2022-05-13,92.0
2022-05-14,125.0
2022-05-15,98.0
2022-05-16,95.0
2022-05-17,142.0
2022-05-18,159.0
2022-05-19,152.0
2022-05-20,121.0
2022-05-21,98.0
2022-05-22,65.0
2022-05-23,54.0
2022-05-24,57.0
2022-05-25,68.0
2022-05-26,71.0
2022-05-27,53.0
2022-05-28,46.0
2022-05-29,52.0
2022-05-30,59.0
2022-05-31,63.0
2022-06-01,66.0
2022-06-02,66.0
2022-06-03,74.0
2022-06-04,71.0
2022-06-05,61.0
2022-06-06,53.0
2022-06-07,43.0
2022-06-08,19.0
2022-06-09,24.0
2022-06-10,42.0
2022-06-11,12.0
2022-06-12,18.0
2022-06-13,10.0
2022-06-14,29.0
2022-06-15,33.0
2022-06-16,41.0
2022-06-17,39.0
2022-06-18,35.0
2022-06-19,29.0
2022-06-20,29.0
2022-06-21,30.0
2022-06-22,30.0
2022-06-23,31.0
2022-06-24,34.0
2022-06-25,14.0
2022-06-26,10.0
2022-06-27,21.0
2022-06-28,34.0
2022-06-29,38.0
2022-06-30,21.0
2022-07-01,36.0
2022-07-02,42.0
2022-07-03,128.96361355081555
2022-07-04,11.0
2022-07-05,21.0
2022-07-06,68.0
2022-07-07,63.0
2022-07-08,58.0
2022-07-09,58.0
2022-07-10,53.0
2022-07-11,56.0
2022-07-12,54.0
2022-07-13,48.0
2022-07-14,48.0
2022-07-15,60.0
2022-07-16,55.0
